KEY;NL;EN
E_BEKNOPT_TTEST_BETWEEN;ttest;
E_BEKNOPT_TTEST_WITHIN;ttest;
E_BEKNOPT_1_ANOVA;anova;
E_BEKNOPT_2_ANOVA;;
E_BEKNOPT_RMANOVA;;
E_BEKNOPT_MREGRESSIE;;
E_BEKNOPT_MANOVA;;
E_BEKNOPT_ANCOVA;;
E_BEKNOPT_MULTI_RMANOVA;;
